SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,ExpModLED_1.intExpLEDSelect[0:15],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID3_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
2,ExpModLED_1.StartStateMachine,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,ExpModLED_1.intExpLEDSelect[0:15],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
3,ExpModLED_1.ShiftRegister0[7:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,ExpModLED_1.Exp0LED[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
4,ExpModLED_1.ShiftRegister1[7:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,ExpModLED_1.Exp1LED[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
5,ExpModLED_1.ShiftRegister2[7:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,ExpModLED_1.Exp2LED[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
6,ExpModLED_1.ShiftRegister3[7:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,ExpModLED_1.Exp3LED[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
7,ExpModLED_1.Exp0LED[3:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID0_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
8,ExpModLED_1.Exp1LED[3:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID1_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
9,ExpModLED_1.Exp2LED[3:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID2_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
10,ExpModLED_1.Exp3LED[3:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID3_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
11,LatCnt_1.LatencyCounter[31:0],Clock_Gen_Clock_Gen_0_FCCC|GL0_net_inferred_clock,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,TickSync_1.LatchedTickSync,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
12,Quad_1.QuadXface_6.HomePolarity,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscCtrlID_1.ControlID_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
13,Quad_1.QuadXface_6.IndexPolarity,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscCtrlID_1.ControlID_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
14,Quad_1.QuadXface_6.Latch0InSel,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscCtrlID_1.ControlID_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
15,Quad_1.QuadXface_6.Latch1InSel,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscCtrlID_1.ControlID_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
16,Quad_1.QuadXface_6.HomeArm,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_6.intHomeLat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
17,Quad_1.QuadXface_6.HomeTriggerType[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscCtrlID_1.ControlID_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
18,Quad_1.QuadXface_6.Latch0ArmedState[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_6.intLatch0Lat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
19,Quad_1.QuadXface_6.Latch1ArmedState[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_6.intLatch1Lat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
20,Quad_1.QuadXface_6.LearnModeEnable,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_6.clrLearnModeDone,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
21,Quad_1.QuadXface_6.QL0[2:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_6.Latch0InSel,Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing.
22,Quad_1.QuadXface_6.QL1[2:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_6.Latch1InSel,Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing.
23,Quad_1.QuadXface_6.EdgeMode,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,TickSync_1.LatchedTickSync,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
24,Quad_1.QuadXface_6.intLatch0Lat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_6.Latch0ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
25,Quad_1.QuadXface_6.Latch0Reg[15:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_6.Latch0ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
26,Quad_1.QuadXface_6.intLatch1Lat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_6.Latch1ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
27,Quad_1.QuadXface_6.Latch1Reg[15:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_6.Latch1ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
28,Quad_1.QuadXface_6.intEdgeMode,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_6.LearnModeEnable,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
29,Quad_1.QuadXface_6.intLearnModeDone,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_6.LearnModeEnable,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
30,Quad_1.QuadXface_6.IndexEdgeDetected,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_6.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
31,Quad_1.QuadXface_6.CaptureHomeCountsLat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_6.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
32,Quad_1.QuadXface_6.intHomeLat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_6.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
33,Quad_1.QuadXface_5.HomePolarity,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscCtrlID_1.ControlID_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
34,Quad_1.QuadXface_5.IndexPolarity,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscCtrlID_1.ControlID_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
35,Quad_1.QuadXface_5.Latch0InSel,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscCtrlID_1.ControlID_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
36,Quad_1.QuadXface_5.Latch1InSel,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscCtrlID_1.ControlID_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
37,Quad_1.QuadXface_5.HomeArm,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_5.intHomeLat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
38,Quad_1.QuadXface_5.HomeTriggerType[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscCtrlID_1.ControlID_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
39,Quad_1.QuadXface_5.Latch0ArmedState[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_5.intLatch0Lat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
40,Quad_1.QuadXface_5.Latch1ArmedState[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_5.intLatch1Lat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
41,Quad_1.QuadXface_5.LearnModeEnable,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_5.clrLearnModeDone,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
42,Quad_1.QuadXface_5.QL0[2:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_5.Latch0InSel,Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing.
43,Quad_1.QuadXface_5.QL1[2:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_5.Latch1InSel,Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing.
44,Quad_1.QuadXface_5.EdgeMode,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,TickSync_1.LatchedTickSync,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
45,Quad_1.QuadXface_5.intLatch0Lat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_5.Latch0ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
46,Quad_1.QuadXface_5.Latch0Reg[15:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_5.Latch0ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
47,Quad_1.QuadXface_5.intLatch1Lat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_5.Latch1ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
48,Quad_1.QuadXface_5.Latch1Reg[15:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_5.Latch1ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
49,Quad_1.QuadXface_5.intEdgeMode,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_5.LearnModeEnable,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
50,Quad_1.QuadXface_5.intLearnModeDone,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_5.LearnModeEnable,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
51,Quad_1.QuadXface_5.IndexEdgeDetected,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_5.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
52,Quad_1.QuadXface_5.CaptureHomeCountsLat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_5.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
53,Quad_1.QuadXface_5.intHomeLat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_5.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
54,Quad_1.QuadXface_4.HomePolarity,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID3_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
55,Quad_1.QuadXface_4.IndexPolarity,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID3_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
56,Quad_1.QuadXface_4.Latch0InSel,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID3_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
57,Quad_1.QuadXface_4.Latch1InSel,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID3_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
58,Quad_1.QuadXface_4.HomeArm,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_4.intHomeLat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
59,Quad_1.QuadXface_4.HomeTriggerType[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID3_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
60,Quad_1.QuadXface_4.Latch0ArmedState[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_4.intLatch0Lat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
61,Quad_1.QuadXface_4.Latch1ArmedState[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_4.intLatch1Lat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
62,Quad_1.QuadXface_4.LearnModeEnable,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_4.clrLearnModeDone,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
63,Quad_1.QuadXface_4.QL0[2:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_4.Latch0InSel,Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing.
64,Quad_1.QuadXface_4.QL1[2:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_4.Latch1InSel,Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing.
